"","Method","Num contigs","GC perc","Tax 16S","Disparity","Completeness","Contamination"
"Seagrass.concoct.347.fa_sub.contigs","DAS",2803,48.83,"superkingdom:Archaea;clade:TACK group;phylum:Thermoproteota;class:Thermoprotei;order:Thermofilales;family:Thermofilaceae;genus:Thermofilum|superkingdom:Bacteria|superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Bacteroidia;order:Bacteroidales|superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Bacteroidia;order:Marinilabiliales;family:Marinilabiliaceae|superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Bacteroidia;order:Marinilabiliales;family:Prolixibacteraceae;genus:Sunxiuqinia|superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Cytophagia;order:Cytophagales|superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Cytophagia;order:Cytophagales;family:Flammeovirgaceae|superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Flavobacteriia;order:Flavobacteriales;family:Flavobacteriaceae|superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Flavobacteriia;order:Flavobacteriales;family:Flavobacteriaceae;genus:Eudoraea|superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Flavobacteriia;order:Flavobacteriales;family:Flavobacteriaceae;genus:Lutimonas|superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Flavobacteriia;order:Flavobacteriales;family:Flavobacteriaceae;genus:Maribacter|superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Flavobacteriia;order:Flavobacteriales;family:Flavobacteriaceae;genus:Muriicola|superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Saprospiria;order:Saprospirales;family:Haliscomenobacteraceae;genus:Haliscomenobacter|superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Saprospiria;order:Saprospirales;family:Saprospiraceae|superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Ignavibacteriota;class:Ignavibacteria;order:Ignavibacteriales;family:Ignavibacteriaceae|superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Ignavibacteriota;class:Ignavibacteria;order:Ignavibacteriales;family:Ignavibacteriaceae;genus:Ignavibacterium|superkingdom:Bacteria;clade:FCB group;phylum:Candidatus Hydrogenedentota;class:Candidatus Hydrogenedentia;order:Candidatus Hydrogenedentales;family:Candidatus Hydrogenedentaceae;genus:Candidatus Hydrogenedens|superkingdom:Bacteria;clade:PVC group;phylum:Chlamydiota;class:Chlamydiia;order:Parachlamydiales;family:Parachlamydiaceae;genus:Parachlamydia|superkingdom:Bacteria;clade:PVC group;phylum:Planctomycetota;class:Planctomycetia|superkingdom:Bacteria;clade:PVC group;phylum:Planctomycetota;class:Planctomycetia;order:Pirellulales;family:Pirellulaceae;genus:Blastopirellula|superkingdom:Bacteria;clade:PVC group;phylum:Planctomycetota;class:Planctomycetia;order:Pirellulales;family:Pirellulaceae;genus:Rhodopirellula|superkingdom:Bacteria;clade:PVC group;phylum:Planctomycetota;class:Planctomycetia;order:Planctomycetales;family:Planctomycetaceae|superkingdom:Bacteria;clade:PVC group;phylum:Planctomycetota;class:Planctomycetia;order:Planctomycetales;family:Planctomycetaceae;genus:Gimesia|superkingdom:Bacteria;clade:PVC group;phylum:Verrucomicrobiota;class:Opitutia;order:Opitutales;family:Opitutaceae|superkingdom:Bacteria;clade:PVC group;phylum:Verrucomicrobiota;class:Verrucomicrobiia;order:Verrucomicrobiales;family:Rubritaleaceae;genus:Rubritalea|superkingdom:Bacteria;clade:PVC group;phylum:Verrucomicrobiota;class:Verrucomicrobiia;order:Verrucomicrobiales;family:Verrucomicrobiaceae|superkingdom:Bacteria;clade:PVC group;phylum:Verrucomicrobiota;class:Verrucomicrobiia;order:Verrucomicrobiales;family:Verrucomicrobiaceae;genus:Luteolibacter|superkingdom:Bacteria;clade:PVC group;phylum:Verrucomicrobiota;class:Verrucomicrobiia;order:Verrucomicrobiales;family:Verrucomicrobiaceae;genus:Roseibacillus|superkingdom:Bacteria;clade:PVC group;phylum:Verrucomicrobiota;class:Verrucomicrobiia;order:Verrucomicrobiales;family:Verrucomicrobiaceae;genus:Verrucomicrobium|superkingdom:Bacteria;clade:Terrabacteria group;clade:Cyanobacteriota/Melainabacteria group;phylum:Candidatus Melainabacteria;class:Vampirovibriophyceae;order:Vampirovibrionales;genus:Vampirovibrio|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Actinomycetota;class:Acidimicrobiia;order:Acidimicrobiales|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Actinomycetota;class:Acidimicrobiia;order:Acidimicrobiales;family:Iamiaceae|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Actinomycetota;class:Acidimicrobiia;order:Acidimicrobiales;family:Iamiaceae;genus:Aquihabitans|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Actinomycetota;class:Acidimicrobiia;order:Acidimicrobiales;family:Ilumatobacteraceae;genus:Ilumatobacter|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Actinomycetota;class:Actinomycetes;order:Actinomycetales|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Actinomycetota;class:Actinomycetes;order:Micrococcales;family:Demequinaceae|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Actinomycetota;class:Actinomycetes;order:Micrococcales;family:Microbacteriaceae|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Actinomycetota;class:Thermoleophilia;order:Gaiellales;family:Gaiellaceae;genus:Gaiella|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Actinomycetota;class:Thermoleophilia;order:Solirubrobacterales;family:Conexibacteraceae;genus:Conexibacter|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Bacillota;class:Clostridia;order:Eubacteriales;family:Oscillospiraceae;genus:Pseudobacteroides|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Bacillota;class:Clostridia;order:Lachnospirales;family:Lachnospiraceae|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Bacillota;class:Clostridia;order:Lachnospirales;family:Vallitaleaceae;genus:Vallitalea|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae;genus:Pelolinea|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Caldilineae;order:Caldilineales;family:Caldilineaceae|superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Caldilineae;order:Caldilineales;family:Caldilineaceae;genus:Litorilinea|superkingdom:Bacteria;clade:delta/epsilon subdivisions;class:Deltaproteobacteria|superkingdom:Bacteria;phylum:Calditrichota;class:Calditrichia;order:Calditrichales;family:Calditrichaceae;genus:Caldithrix|superkingdom:Bacteria;phylum:Campylobacterota;class:Epsilonproteobacteria;order:Campylobacterales|superkingdom:Bacteria;phylum:Campylobacterota;class:Epsilonproteobacteria;order:Campylobacterales;family:Helicobacteraceae|superkingdom:Bacteria;phylum:Campylobacterota;class:Epsilonproteobacteria;order:Campylobacterales;family:Sulfurimonadaceae;genus:Sulfurimonas|superkingdom:Bacteria;phylum:Campylobacterota;class:Epsilonproteobacteria;order:Campylobacterales;family:Sulfurovaceae;genus:Sulfurovum|superkingdom:Bacteria;phylum:Cyanobacteria|superkingdom:Bacteria;phylum:Myxococcota;class:Myxococcia;order:Myxococcales|superkingdom:Bacteria;phylum:Pseudomonadota;class:Alphaproteobacteria|superkingdom:Bacteria;phylum:Pseudomonadota;class:Alphaproteobacteria;order:Geminicoccales;family:Geminicoccaceae;genus:Geminicoccus|superkingdom:Bacteria;phylum:Pseudomonadota;class:Alphaproteobacteria;order:Hyphomicrobiales;family:Hyphomicrobiaceae|superkingdom:Bacteria;phylum:Pseudomonadota;class:Alphaproteobacteria;order:Hyphomicrobiales;family:Hyphomicrobiaceae;genus:Methyloceanibacter|superkingdom:Bacteria;phylum:Pseudomonadota;class:Alphaproteobacteria;order:Hyphomicrobiales;family:Parvibaculaceae;genus:Anderseniella|superkingdom:Bacteria;phylum:Pseudomonadota;class:Alphaproteobacteria;order:Hyphomicrobiales;family:Phyllobacteriaceae|superkingdom:Bacteria;phylum:Pseudomonadota;class:Alphaproteobacteria;order:Rhodobacterales;family:Roseobacteraceae;genus:Tateyamaria|superkingdom:Bacteria;phylum:Pseudomonadota;class:Alphaproteobacteria;order:Rhodospirillales;family:Rhodospirillaceae|superkingdom:Bacteria;phylum:Pseudomonadota;class:Alphaproteobacteria;order:Sphingomonadales;family:Sphingomonadaceae|superkingdom:Bacteria;phylum:Pseudomonadota;class:Betaproteobacteria;order:Nitrosomonadales;family:Methylophilaceae|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Alteromonadales;family:Colwelliaceae;genus:Colwellia|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Alteromonadales;family:Psychromonadaceae;genus:Psychromonas|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Cellvibrionales;family:Halieaceae;genus:Haliea|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Chromatiales|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Chromatiales;family:Chromatiaceae|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Chromatiales;family:Chromatiaceae;genus:Halochromatium|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Chromatiales;family:Granulosicoccaceae;genus:Granulosicoccus|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Methylococcales;family:Methylococcaceae|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Oceanospirillales|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Thiotrichales;family:Thiotrichaceae;genus:Cocleimonas|superkingdom:Bacteria;phylum:Spirochaetota;class:Spirochaetia;order:Spirochaetales;family:Spirochaetaceae|superkingdom:Bacteria;phylum:Spirochaetota;class:Spirochaetia;order:Spirochaetales;family:Spirochaetaceae;genus:Salinispira|superkingdom:Bacteria;phylum:Spirochaetota;class:Spirochaetia;order:Spirochaetales;family:Spirochaetaceae;genus:Spirochaeta|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfatiglandales;family:Desulfatiglandaceae;genus:Desulfatiglans|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfobacteraceae|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfococcaceae;genus:Desulfonema|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobacteria;order:Desulfobacterales;family:Desulfosarcinaceae;genus:Desulfosarcina|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobulbia;order:Desulfobulbales;family:Desulfobulbaceae|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfobulbia;order:Desulfobulbales;family:Desulfobulbaceae;genus:Desulfobulbus|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfuromonadia;order:Desulfuromonadales|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfuromonadia;order:Desulfuromonadales;family:Desulfuromonadaceae|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfuromonadia;order:Desulfuromonadales;family:Desulfuromonadaceae;genus:Desulfuromonas|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Desulfuromonadia;order:Desulfuromonadales;family:Desulfuromonadaceae;genus:Pelobacter|superkingdom:Bacteria;phylum:Thermodesulfobacteriota;class:Dissulfuribacteria;order:Dissulfuribacterales;family:Dissulfuribacteraceae;genus:Dissulfuribacter|superkingdom:Eukaryota;clade:Sar;clade:Stramenopiles;clade:Ochrophyta;phylum:Bacillariophyta|superkingdom:Eukaryota;kingdom:Viridiplantae;phylum:Chlorophyta",0.009,39.75,5.35
"Seagrass.metabat2.281.fa.contigs","DAS",533,55.87,"",0.002,39.66,0.17
"Seagrass.concoct.306.fa_sub.contigs","DAS",1685,55.17,"",0.005,39.13,6.55
"Seagrass.concoct.311.fa_sub.contigs","DAS",2042,60.38,"",0.149,39.01,6.54
"Seagrass.concoct.362.fa_sub.contigs","DAS",668,38.48,"",0.002,38.7,5.33
"Seagrass.concoct.27.fa_sub.contigs","DAS",2769,49.79,"superkingdom:Archaea;clade:TACK group;phylum:Nitrososphaerota;class:Nitrososphaeria;order:Nitrosopumilales;family:Nitrosopumilaceae;genus:Nitrosopumilus|superkingdom:Bacteria|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria|superkingdom:Bacteria;phylum:Pseudomonadota;class:Gammaproteobacteria;order:Chromatiales",0.22,38.53,4.77
"Seagrass.concoct.295.fa_sub.contigs","DAS",1061,51.11,"",0.185,38.47,10.37
"Seagrass.metabat2.77.fa_sub.contigs","DAS",1152,39.47,"",0.002,37.82,3.64
"Seagrass.metabat2.111.fa_sub.contigs","DAS",773,66.73,"",0.025,37.43,4.53
"Seagrass.metabat2.119.fa_sub.contigs","DAS",605,63.7,"",0,37.27,4.73
"Seagrass.metabat2.414.fa.contigs","DAS",347,45.8,"superkingdom:Bacteria;clade:delta/epsilon subdivisions;class:Deltaproteobacteria",0,37.1,2.32
"Seagrass.metabat2.368.fa_sub.contigs","DAS",407,63.74,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Actinomycetota;class:Thermoleophilia;order:Solirubrobacterales",0.11,36.93,0.29
"Seagrass.concoct.137.fa_sub.contigs","DAS",1770,59.86,"",0.003,36.81,6.56
"Seagrass.metabat2.269.fa_sub.contigs","DAS",227,47.85,"",0,36.26,3.91
"Seagrass.metabat2.332.fa_sub.contigs","DAS",702,59.63,"",0,36.03,5.44
"Seagrass.concoct.95.fa_sub.contigs","DAS",866,49.08,"",0.042,35.83,8.66
"Seagrass.metabat2.11.fa_sub.contigs","DAS",239,40.69,"",0.01,35.81,0.22
"Seagrass.concoct.177.fa_sub.contigs","DAS",685,49.04,"",0.003,35.76,5.34
"Seagrass.metabat2.322.fa_sub.contigs","DAS",619,51.84,"",0.012,35.05,3.86
"Seagrass.metabat2.358.fa_sub.contigs","DAS",369,61.31,"",0.017,34.77,2.04
"Seagrass.metabat2.301.fa_sub.contigs","DAS",547,61.82,"",0.018,34.75,0.34
"Seagrass.concoct.351.fa_sub.contigs","DAS",5560,50.96,"superkingdom:Bacteria",0.023,34.71,12.28
"Seagrass.metabat2.310.fa_sub.contigs","DAS",538,58.81,"",0.028,34.48,6.51
"Seagrass.metabat2.415.fa_sub.contigs","DAS",532,53,"",0,34.4,8.5
"Seagrass.metabat2.63.fa_sub.contigs","DAS",458,63.26,"",0.012,34.09,2.8
"Seagrass.metabat2.198.fa_sub.contigs","DAS",253,32.22,"",0.013,33.44,2.54
"Seagrass.metabat2.53.fa.contigs","DAS",306,61.19,"",0.052,32.82,0.05
"Seagrass.concoct.56.fa_sub.contigs","DAS",939,53.27,"",0.015,32.71,3.35
"Seagrass.metabat2.389.fa_sub.contigs","DAS",193,44.35,"",0,32.64,5.18
"Seagrass.metabat2.302.fa_sub.contigs","DAS",554,60.82,"",0.108,32.26,4.32
"Seagrass.metabat2.405.fa_sub.contigs","DAS",339,54.89,"",0.04,32.2,0.35
"Seagrass.metabat2.396.fa_sub.contigs","DAS",306,36.96,"",0.035,32.14,0.03
"Seagrass.metabat2.88.fa_sub.contigs","DAS",178,38.92,"",0.112,32.14,0.01
"Seagrass.metabat2.433.fa_sub.contigs","DAS",336,46.3,"",0,32.07,0.69
"Seagrass.metabat2.227.fa_sub.contigs","DAS",341,36.05,"superkingdom:Archaea",0.043,31.86,1.05
"Seagrass.metabat2.75.fa.contigs","DAS",105,51.12,"",0.01,31.83,0.04
"Seagrass.metabat2.377.fa_sub.contigs","DAS",394,67.79,"",0.007,31.82,0.61
"Seagrass.metabat2.283.fa_sub.contigs","DAS",372,56.37,"",0,31.48,3.9
"Seagrass.metabat2.192.fa_sub.contigs","DAS",143,38.02,"",0.016,31.32,0.48
"Seagrass.metabat2.21.fa.contigs","DAS",328,46.71,"",0.123,31.31,0.88
"Seagrass.metabat2.319.fa_sub.contigs","DAS",633,57.02,"",0.013,31.1,1.27
"Seagrass.metabat2.174.fa.contigs","DAS",478,68.04,"",0,31.09,1.1
"Seagrass.concoct.226.fa_sub.contigs","DAS",686,55.1,"",0.195,30.71,3.38
"Seagrass.metabat2.247.fa_sub.contigs","DAS",332,58.57,"",0,30.64,1
"Seagrass.metabat2.235.fa_sub.contigs","DAS",377,35.47,"",0.016,29.68,0.53
"Seagrass.metabat2.367.fa_sub.contigs","DAS",222,65.79,"",0.015,28.78,0.04
"Seagrass.metabat2.311.fa.contigs","DAS",238,41.97,"",0.004,28.74,2.77
"Seagrass.metabat2.241.fa.contigs","DAS",251,69.65,"",0.042,28.64,0.37
"Seagrass.metabat2.416.fa_sub.contigs","DAS",382,58.54,"",0.037,28.57,0.63
"Seagrass.metabat2.204.fa_sub.contigs","DAS",375,62.95,"",0.014,27.83,0.08
"Seagrass.metabat2.397.fa.contigs","DAS",323,43.18,"",0.003,27.52,2.61
"Seagrass.metabat2.224.fa_sub.contigs","DAS",105,63.21,"",0.042,27.31,0.61
"Seagrass.metabat2.231.fa_sub.contigs","DAS",457,59.22,"",0,26.25,2.04
"Seagrass.metabat2.148.fa_sub.contigs","DAS",234,62.71,"",0.149,25.98,1.92
"Seagrass.metabat2.333.fa_sub.contigs","DAS",297,34.08,"",0.004,25.8,0.53
"Seagrass.concoct.45.fa_sub.contigs","DAS",451,47.67,"",0.044,25.74,2.15
"Seagrass.metabat2.67.fa_sub.contigs","DAS",458,64.29,"",0.198,25.7,1.73
"Seagrass.metabat2.277.fa_sub.contigs","DAS",544,56.34,"",0.079,25.55,0.82
"Seagrass.metabat2.32.fa_sub.contigs","DAS",398,47.49,"",0.003,24.69,1.49
"Seagrass.concoct.13.fa_sub.contigs","DAS",1607,64.75,"",0.348,24.21,1.02
"Seagrass.metabat2.123.fa_sub.contigs","DAS",339,69.07,"",0,24.21,2.17
"Seagrass.metabat2.91.fa_sub.contigs","DAS",434,56.67,"",0.023,24.02,0.19
"Seagrass.metabat2.398.fa_sub.contigs","DAS",256,64.43,"",0.023,23.49,0.17
"Seagrass.metabat2.156.fa_sub.contigs","DAS",322,47.4,"",0.015,22.89,0.4
"Seagrass.metabat2.36.fa_sub.contigs","DAS",301,61.52,"",0.011,22.79,0.77
"Seagrass.metabat2.199.fa_sub.contigs","DAS",353,45.65,"",0,22.24,1.17
"Seagrass.metabat2.336.fa_sub.contigs","DAS",374,63.02,"",0,22.01,0.66
"Seagrass.metabat2.29.fa_sub.contigs","DAS",301,67.8,"",0.047,21.41,0.38
"Seagrass.metabat2.18.fa_sub.contigs","DAS",381,67.13,"",0.005,21.31,0.41
"Seagrass.metabat2.60.fa_sub.contigs","DAS",224,39.96,"",0.031,20.95,0.01
"Seagrass.metabat2.42.fa_sub.contigs","DAS",199,50.11,"",0.01,20.78,0.09
"Seagrass.concoct.62.fa_sub.contigs","DAS",619,46.37,"superkingdom:Bacteria",0.025,20.61,0.54
"Seagrass.metabat2.143.fa_sub.contigs","DAS",259,47.42,"",0.005,20.6,1
"Seagrass.metabat2.184.fa_sub.contigs","DAS",246,62.1,"superkingdom:Bacteria",0.137,20.54,0.01
"Seagrass.metabat2.114.fa_sub.contigs","DAS",279,64.74,"",0.015,20.47,1.33
"Seagrass.metabat2.8.fa_sub.contigs","DAS",221,50.67,"",0.055,20.19,0.12
"Seagrass.metabat2.153.fa_sub.contigs","DAS",224,53.23,"",0.005,19.76,0.02
"Seagrass.metabat2.144.fa_sub.contigs","DAS",211,62.55,"",0,19.59,0.02
"Seagrass.metabat2.376.fa_sub.contigs","DAS",141,48.25,"",0,19.39,0.06
"Seagrass.metabat2.3.fa_sub.contigs","DAS",238,57.45,"",0.109,19.39,0
"Seagrass.concoct.40.fa_sub.contigs","DAS",113,55.17,"",0.079,19.36,0.25
"Seagrass.metabat2.7.fa_sub.contigs","DAS",353,58.81,"",0.08,19.25,0.01
"Seagrass.metabat2.307.fa_sub.contigs","DAS",381,57.82,"",0.065,18.55,0.33
"Seagrass.metabat2.401.fa_sub.contigs","DAS",189,61.89,"",0.006,18.34,0.05
"Seagrass.metabat2.129.fa_sub.contigs","DAS",117,37.45,"",0.124,18.29,0.15
"Seagrass.metabat2.87.fa_sub.contigs","DAS",308,69.32,"",0.023,17.97,0.01
"Seagrass.metabat2.240.fa_sub.contigs","DAS",190,57.4,"",0,16.7,0.03
"Seagrass.metabat2.249.fa_sub.contigs","DAS",168,64.5,"",0.054,16.69,0.23
"Seagrass.metabat2.328.fa_sub.contigs","DAS",323,56.52,"",0.01,16.49,0.21
"Seagrass.metabat2.259.fa_sub.contigs","DAS",204,34.63,"superkingdom:Archaea",0.161,16.39,0.01
"Seagrass.metabat2.419.fa_sub.contigs","DAS",327,65.2,"",0.047,15.94,0.77
"Seagrass.metabat2.388.fa_sub.contigs","DAS",222,64.39,"",0.035,15.94,0
"Seagrass.metabat2.121.fa_sub.contigs","DAS",109,43.25,"",0.037,15.73,0
"Seagrass.concoct.245.fa_sub.contigs","DAS",648,55.71,"",0.028,15.68,2.84
"Seagrass.metabat2.13.fa_sub.contigs","DAS",76,48.54,"",0.077,15.63,0.16
"Seagrass.metabat2.209.fa_sub.contigs","DAS",221,46.93,"",0.05,15.08,0.98
"Seagrass.metabat2.12.fa_sub.contigs","DAS",398,61.43,"",0.036,14.84,0.67
"Seagrass.metabat2.41.fa_sub.contigs","DAS",101,64.24,"",0,14.17,0
"Seagrass.metabat2.271.fa_sub.contigs","DAS",281,58.13,"",0.291,13.64,0.03
"Seagrass.metabat2.338.fa_sub.contigs","DAS",220,63.29,"",0,13.42,0
"Seagrass.metabat2.52.fa_sub.contigs","DAS",153,45.59,"",0,13.24,0.04
"Seagrass.metabat2.149.fa_sub.contigs","DAS",159,65.77,"",0.02,13.23,0.01
"Seagrass.metabat2.28.fa_sub.contigs","DAS",186,67.89,"",0.031,13.22,0
"Seagrass.concoct.346.fa_sub.contigs","DAS",565,59.44,"",0.104,13.17,0.99
"Seagrass.metabat2.228.fa.contigs","DAS",65,46.64,"",0,13.06,0.87
"Seagrass.metabat2.258.fa_sub.contigs","DAS",123,67.7,"",0,13.01,0.79
"Seagrass.metabat2.164.fa_sub.contigs","DAS",144,67.8,"",0,12.25,0.05
"Seagrass.metabat2.316.fa_sub.contigs","DAS",196,37.39,"",0.024,11.87,0.02
"Seagrass.metabat2.1.fa_sub.contigs","DAS",135,57.82,"",0.173,11.78,0
"Seagrass.metabat2.54.fa_sub.contigs","DAS",227,56.59,"",0.174,11.48,0.08
"Seagrass.metabat2.399.fa_sub.contigs","DAS",93,61.4,"",0.044,11.45,0.01
"Seagrass.metabat2.278.fa_sub.contigs","DAS",140,69.82,"",0,11.37,0.06
"Seagrass.metabat2.346.fa_sub.contigs","DAS",78,63.76,"",0.033,11.21,0
"Seagrass.metabat2.98.fa_sub.contigs","DAS",110,60.13,"",0.038,10.93,0
"Seagrass.metabat2.6.fa_sub.contigs","DAS",128,39.48,"",0.028,10.86,0.01
"Seagrass.metabat2.294.fa.contigs","DAS",93,45.05,"",0,10.36,1.47
"Seagrass.metabat2.289.fa_sub.contigs","DAS",246,47.2,"",0.004,10.18,0.52
"Seagrass.metabat2.95.fa_sub.contigs","DAS",153,66.17,"",0.062,9.83,0.05
"Seagrass.metabat2.324.fa_sub.contigs","DAS",119,65.79,"",0,9.71,0
"Seagrass.metabat2.350.fa_sub.contigs","DAS",103,36.86,"",0,9.53,0
"Seagrass.metabat2.251.fa_sub.contigs","DAS",49,47.15,"",0,9.3,0.03
"Seagrass.metabat2.262.fa_sub.contigs","DAS",107,61.5,"",0,9.27,0.2
"Seagrass.metabat2.426.fa_sub.contigs","DAS",165,53.8,"",0.08,9.23,0.03
"Seagrass.metabat2.229.fa_sub.contigs","DAS",191,45,"",0.364,9.15,0.18
"Seagrass.metabat2.299.fa_sub.contigs","DAS",118,64.67,"",0.031,9.11,0
"Seagrass.metabat2.432.fa_sub.contigs","DAS",128,47.99,"",0.008,9.07,0.15
"Seagrass.metabat2.288.fa.contigs","DAS",121,55.05,"",0,9.05,0
"Seagrass.metabat2.298.fa_sub.contigs","DAS",68,40.06,"",0,9.02,0
"Seagrass.metabat2.412.fa_sub.contigs","DAS",114,68.77,"",0.013,8.93,0
"Seagrass.metabat2.226.fa_sub.contigs","DAS",134,63.77,"",0.075,8.88,0
"Seagrass.metabat2.411.fa_sub.contigs","DAS",176,60.01,"",0.016,8.8,0.03
"Seagrass.metabat2.292.fa_sub.contigs","DAS",109,55.02,"",0.132,8.51,0
"Seagrass.metabat2.424.fa_sub.contigs","DAS",93,32.94,"",0.095,8.04,0.02
"Seagrass.metabat2.290.fa_sub.contigs","DAS",83,45.81,"",0,7.77,0.02
"Seagrass.metabat2.25.fa_sub.contigs","DAS",86,56.67,"superkingdom:Bacteria;clade:Terrabacteria group;phylum:Chloroflexota;class:Anaerolineae;order:Anaerolineales;family:Anaerolineaceae",0,7.74,0
"Seagrass.metabat2.252.fa_sub.contigs","DAS",102,33.76,"superkingdom:Bacteria;clade:FCB group;clade:Bacteroidota/Chlorobiota group;phylum:Bacteroidota;class:Flavobacteriia;order:Flavobacteriales;family:Flavobacteriaceae",0.011,7.68,0
"Seagrass.metabat2.403.fa_sub.contigs","DAS",51,56.87,"",0.024,7,0
"Seagrass.metabat2.172.fa_sub.contigs","DAS",55,57.21,"",0.036,6.9,0.01
"Seagrass.metabat2.147.fa_sub.contigs","DAS",69,43.09,"",0,6.81,0.03
"Seagrass.metabat2.140.fa_sub.contigs","DAS",70,46.34,"",0,6.24,0
"Seagrass.metabat2.105.fa_sub.contigs","DAS",55,62.55,"",0.048,5.67,0.14
"Seagrass.metabat2.132.fa_sub.contigs","DAS",28,55.6,"",0.05,5.58,0
"Seagrass.metabat2.420.fa_sub.contigs","DAS",34,59.58,"",0,5.28,0.02
"Seagrass.metabat2.385.fa_sub.contigs","DAS",32,40.05,"",0.053,5.09,0
"Seagrass.metabat2.40.fa_sub.contigs","DAS",31,41.13,"",0,5.08,0
"Seagrass.metabat2.407.fa_sub.contigs","DAS",71,60.72,"",0.026,5.02,0
"Seagrass.metabat2.50.fa_sub.contigs","DAS",45,56.01,"",0,4.95,0.17
"Seagrass.metabat2.215.fa_sub.contigs","DAS",54,61.98,"",0,4.9,0
"Seagrass.metabat2.384.fa_sub.contigs","DAS",51,56.57,"",0.13,4.89,0
"Seagrass.metabat2.325.fa_sub.contigs","DAS",92,67.17,"",0.133,4.6,0
"Seagrass.metabat2.286.fa_sub.contigs","DAS",64,48.84,"",0,4.33,0.04
